Date,AAPL
12/02/1992,2.3304
13/02/1992,2.2946
14/02/1992,2.2902
17/02/1992,2.2902
18/02/1992,2.2411
19/02/1992,2.2143
20/02/1992,2.308
21/02/1992,2.3214
24/02/1992,2.3616
25/02/1992,2.4464
26/02/1992,2.4955
27/02/1992,2.4464
28/02/1992,2.4107
02/03/1992,2.4018
03/03/1992,2.3705
04/03/1992,2.3214
05/03/1992,2.2679
06/03/1992,2.2857
09/03/1992,2.2768
10/03/1992,2.2768
11/03/1992,2.2589
12/03/1992,2.2411
13/03/1992,2.2545
16/03/1992,2.2634
17/03/1992,2.2455
18/03/1992,2.2768
19/03/1992,2.25
20/03/1992,2.2589
23/03/1992,2.25
24/03/1992,2.3214
25/03/1992,2.3036
26/03/1992,2.2857
27/03/1992,2.1786
30/03/1992,2.0759
31/03/1992,2.0804
01/04/1992,2.1071
02/04/1992,2.0982
03/04/1992,2.1071
06/04/1992,2.1696
07/04/1992,2.0446
08/04/1992,1.9955
09/04/1992,2.0446
10/04/1992,1.9821
13/04/1992,2.0179
14/04/1992,2.0982
15/04/1992,2.1607
16/04/1992,2.1071
17/04/1992,2.1071
20/04/1992,2.0268
21/04/1992,2.0089
22/04/1992,2.058
23/04/1992,2.0357
24/04/1992,2.0179
27/04/1992,1.9911
28/04/1992,1.9375
29/04/1992,2.0357
30/04/1992,2.1473
01/05/1992,2.1161
04/05/1992,2.1607
05/05/1992,2.1607
06/05/1992,2.2054
07/05/1992,2.1696
08/05/1992,2.2143
11/05/1992,2.2232
12/05/1992,2.2232
13/05/1992,2.2411
14/05/1992,2.192
15/05/1992,2.1652
18/05/1992,2.1563
19/05/1992,2.1205
20/05/1992,2.1429
21/05/1992,2.1116
22/05/1992,2.125
25/05/1992,2.125
26/05/1992,2.1161
27/05/1992,2.1518
28/05/1992,2.125
29/05/1992,2.1339
01/06/1992,2.0536
02/06/1992,2.0179
03/06/1992,1.933
04/06/1992,1.9464
05/06/1992,1.9598
08/06/1992,1.9375
09/06/1992,1.9286
10/06/1992,1.9196
11/06/1992,1.9241
12/06/1992,1.9509
15/06/1992,1.8795
16/06/1992,1.7589
17/06/1992,1.6964
18/06/1992,1.6161
19/06/1992,1.5982
22/06/1992,1.5804
23/06/1992,1.6161
24/06/1992,1.6429
25/06/1992,1.6295
26/06/1992,1.6161
29/06/1992,1.6696
30/06/1992,1.7143
01/07/1992,1.75
02/07/1992,1.6518
03/07/1992,1.6518
06/07/1992,1.6518
07/07/1992,1.5804
08/07/1992,1.6339
09/07/1992,1.6384
10/07/1992,1.6339
13/07/1992,1.6786
14/07/1992,1.6964
15/07/1992,1.7143
16/07/1992,1.7411
17/07/1992,1.6071
20/07/1992,1.5982
21/07/1992,1.6339
22/07/1992,1.5804
23/07/1992,1.5982
24/07/1992,1.6384
27/07/1992,1.6161
28/07/1992,1.6607
29/07/1992,1.6875
30/07/1992,1.6875
31/07/1992,1.6696
03/08/1992,1.6339
04/08/1992,1.625
05/08/1992,1.5982
06/08/1992,1.5714
07/08/1992,1.5491
10/08/1992,1.5759
11/08/1992,1.5536
12/08/1992,1.5759
13/08/1992,1.5982
14/08/1992,1.5982
17/08/1992,1.5982
18/08/1992,1.5982
19/08/1992,1.5893
20/08/1992,1.5982
21/08/1992,1.5938
24/08/1992,1.5446
25/08/1992,1.5848
26/08/1992,1.5804
27/08/1992,1.5893
28/08/1992,1.6071
31/08/1992,1.6429
01/09/1992,1.6607
02/09/1992,1.7321
03/09/1992,1.7054
04/09/1992,1.6875
07/09/1992,1.6875
08/09/1992,1.7054
09/09/1992,1.75
10/09/1992,1.7589
11/09/1992,1.7009
14/09/1992,1.7679
15/09/1992,1.7232
16/09/1992,1.6786
17/09/1992,1.6429
18/09/1992,1.6607
21/09/1992,1.6607
22/09/1992,1.6339
23/09/1992,1.6964
24/09/1992,1.6518
25/09/1992,1.625
28/09/1992,1.5982
29/09/1992,1.6027
30/09/1992,1.6116
01/10/1992,1.5804
02/10/1992,1.5625
05/10/1992,1.5536
06/10/1992,1.5982
07/10/1992,1.5625
08/10/1992,1.5536
09/10/1992,1.5491
12/10/1992,1.5714
13/10/1992,1.6205
14/10/1992,1.6429
15/10/1992,1.625
16/10/1992,1.75
19/10/1992,1.75
20/10/1992,1.7545
21/10/1992,1.7321
22/10/1992,1.7411
23/10/1992,1.7411
26/10/1992,1.8393
27/10/1992,1.8393
28/10/1992,1.8661
29/10/1992,1.9018
30/10/1992,1.875
02/11/1992,1.8661
03/11/1992,1.8571
04/11/1992,1.875
05/11/1992,1.9643
06/11/1992,1.9911
09/11/1992,1.9732
10/11/1992,2.0089
11/11/1992,2.0268
12/11/1992,2.0313
13/11/1992,2.0089
16/11/1992,2.0491
17/11/1992,1.9732
18/11/1992,2.0625
19/11/1992,2.0804
20/11/1992,2.0536
23/11/1992,2.0268
24/11/1992,2.0536
25/11/1992,2.0179
26/11/1992,2.0179
27/11/1992,2.0179
30/11/1992,2.0536
01/12/1992,2.0804
02/12/1992,2.0446
03/12/1992,2.0536
04/12/1992,2.0313
07/12/1992,2.0625
